Snapshot_Month,Pipeline_Deal_ID,Deal_Name,Customer_Name,Deal_Value, License_ACV ,Implementation_Value,Logo_Type,Deal_Stage,Current_Stage,Probability,Expected_Close_Date,Region,Vertical,Segment,Product_Sub_Category,Sales_Rep
1/1/2024,3.08E+11,CATL_S2P,"Contemporary Amperex Technology Co., Ltd.","$138,000 ","$103,500 ","$34,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,4/30/2024,APAC,Automotive and Industrial,,,Louie Li
1/1/2024,3.08E+11,Country Financial S2P RFP,COUNTRY Financial Illinois,"$281,250 ","$101,250 ","$180,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,5/17/2024,North America,BFSI,,,Tim Rothrock
1/1/2024,3.08E+11,Purdue Pharma P2P,Purdue Pharma LP,"$222,900 ","$97,650 ","$125,250 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,2/14/2024,North America,Life Sciences,,,Uday Singh
1/1/2024,3.08E+11,ING Groep - S2C,ING Groep N.V.,"$2,212,200 ","$585,000 ","$1,627,200 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,3/29/2024,Europe,BFSI,,,Bernard Remacle
1/1/2024,3.08E+11,Medline-S2P,"Medline Industries, Inc.","$246,000 ","$97,500 ","$148,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,5/17/2024,North America,Life Sciences,,,Tim Rothrock
1/1/2024,3.08E+11,VALEO - SCM Collaboration,Valeo SA,"$187,500 ","$93,750 ","$93,750 ",Cross Sell,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),15%,5/30/2024,Europe,Automotive and Industrial,,,Bernard Remacle
1/1/2024,3.08E+11,ZF Friedrichshafen_S2P,ZF Friedrichshafen AG,"$315,000 ","$90,000 ","$225,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),30%,9/19/2024,Europe,Automotive and Industrial,,,Stephan Hesselgren
1/1/2024,3.08E+11,American Electric Power Company - S2O,"American Electric Power Company, Inc.","$231,900 ","$89,400 ","$142,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),30%,3/28/2024,North America,Energy & Utilities,,,Uday Singh
1/1/2024,3.08E+11,Edward D Jones & Co LP_P2P,Edward D Jones & Co LP,"$158,550 ","$83,550 ","$75,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,8/30/2024,North America,BFSI,,,Joe Wishy
1/1/2024,3.08E+11,McAfee_S2P,"McAfee, Inc.","$141,788 ","$83,288 ","$58,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,6/30/2024,North America,Telecom/Media/Tech,,,Karson Keogh
1/1/2024,3.08E+11,Nomura Sg (Global) P2P & Supplier,Nomura Singapore Limited,"$150,450 ","$77,700 ","$72,750 ",Cross Sell,Stage 4: Short-List (Software Sales Opportunity),Stage 4: Short-List (Software Sales Opportunity),50%,4/30/2024,APAC,BFSI,,,Maureen Chong
1/1/2024,3.08E+11,Hicom Holdings - S2P,DRB-Hicom Berhad,"$164,625 ","$76,875 ","$87,750 ",Cross Sell,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,6/10/2024,APAC,Automotive and Industrial,,,Ming Wai
1/1/2024,3.08E+11,IAG - S2C,IAG GBS Limited,"$110,598 ","$75,348 ","$35,250 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,4/25/2024,Europe,Other Services,,,Sam Zaki
1/1/2024,3.08E+11,New Fortress - S2P,New Fortress Energy LLC,"$75,000 ","$75,000 ",$0 ,New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,3/27/2024,North America,Chemicals/Oil/Gas/Resources,,,Uday Singh
1/1/2024,3.08E+11,Apache_S2P,Apache Corporation,"$150,000 ","$75,000 ","$75,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,5/9/2024,North America,Chemicals/Oil/Gas/Resources,,,Christina Ambroson
1/1/2024,3.08E+11,Boston Beer - S2P,"The Boston Beer Company, Inc.","$75,000 ","$75,000 ",$0 ,New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,11/20/2024,North America,CPG & Retail,,,Uday Singh
1/1/2024,3.08E+11,Johnsonville_S2P,"Johnsonville Sausage, LLC","$217,466 ","$74,966 ","$142,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,4/15/2024,North America,CPG & Retail,,,Joe Wishy
1/1/2024,3.08E+11,"Gordon Food Service, Inc- Tech- S2P","Gordon Food Service, Inc.","$185,400 ","$74,400 ","$111,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,6/28/2024,North America,CPG & Retail,,,Brian Bergersen
1/1/2024,3.08E+11,PPI_S2P,"Pemex Procurement International, Inc.","$178,178 ","$74,228 ","$103,950 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,1/25/2024,North America,Other Services,,,Christina Ambroson
1/1/2024,3.08E+11,Panasonic_S2C,Panasonic Corporation of North America,"$173,550 ","$73,800 ","$99,750 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,12/31/2024,North America,CPG & Retail,,,Brian Bergersen
1/1/2024,3.08E+11,Intact Financial Corporation - S2P,Intact Financial Corporation,"$207,900 ","$72,900 ","$135,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),30%,2/29/2024,North America,BFSI,,,Uday Singh
1/1/2024,3.08E+11,Big Lots Inc - S2P,"Big Lots, Inc.","$260,250 ","$72,750 ","$187,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,2/29/2024,North America,CPG & Retail,,,Brian Bergersen
1/1/2024,3.08E+11,Logisnext Americas_S2P,Mitsubishi Logisnext Americas,"$203,550 ","$71,700 ","$131,850 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,12/18/2024,North America,Automotive and Industrial,,,Christina Ambroson
1/1/2024,3.08E+11,GEICO_RFP_S2C + TPRM,GEICO Corporation,"$1,005,872 ","$420,872 ","$585,000 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,2/2/2024,North America,BFSI,,,Brian Bergersen
1/1/2024,3.08E+11,Gilbane_RFP_P2P,"Gilbane, Inc.","$172,631 ","$70,031 ","$102,600 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,4/19/2024,North America,Other Services,,,Brian Bergersen
1/1/2024,3.08E+11,Ovintiv - S2O,Ovintiv Inc. (Encana Corporation),"$76,022 ","$70,022 ","$6,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,9/1/2024,North America,Chemicals/Oil/Gas/Resources,,,Karson Keogh
1/1/2024,3.08E+11,Harman International- Esourcing/Project Management,Harman International Industries Inc.,"$69,300 ","$69,300 ",$0 ,Cross Sell,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),15%,10/30/2024,North America,CPG & Retail,,,Mattie Farnsworth
1/1/2024,3.08E+11,Keyera_S2P,Keyera Corporation,"$86,625 ","$64,125 ","$22,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,3/31/2024,North America,Chemicals/Oil/Gas/Resources,,,Karson Keogh
1/1/2024,3.08E+11,Videojet Technologies_S2C,Videojet Technologies Inc,"$127,500 ","$63,750 ","$63,750 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,10/11/2024,North America,Automotive and Industrial,,,Tim Rothrock
1/1/2024,3.08E+11,PNR_S2C,Pioneer Natural Resources Company,"$111,770 ","$63,020 ","$48,750 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,4/25/2024,North America,Chemicals/Oil/Gas/Resources,,,Jack Keogh
1/1/2024,3.08E+11,"Optiver - Spend, P2P",Optiver Services US LLC,"$180,821 ","$62,321 ","$118,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,5/17/2024,North America,BFSI,,,Tim Rothrock
1/1/2024,3.08E+11,Fortune Brands Home & Security Inc_S2C,"Fortune Brands Home & Security, Inc.","$123,300 ","$61,800 ","$61,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,10/18/2024,North America,Automotive and Industrial,,,Tim Rothrock
1/1/2024,3.08E+11,Fossil Group_S2P,"Fossil Group, Inc.","$90,000 ","$60,000 ","$30,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,3/22/2024,North America,CPG & Retail,,,Jack Keogh
1/1/2024,3.08E+11,Bridgestone_S2P_2024,Bridgestone Asia Pacific Pte Ltd,"$116,250 ","$60,000 ","$56,250 ",Upsell,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,6/28/2024,APAC,Automotive and Industrial,,,Maureen Chong
1/1/2024,3.08E+11,PSECU_S2P,Pennsylvania State Employees Credit Union,"$143,468 ","$59,468 ","$84,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,3/27/2024,North America,BFSI,,,Uday Singh
1/1/2024,3.08E+11,P&V/CP - S2P,Pierre et Vacances SA,"$114,750 ","$59,250 ","$55,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),15%,7/26/2024,Europe,Other Services,,,Bernard Remacle
1/1/2024,3.08E+11,"Jack Henry & Associates, Inc._S2P","Jack Henry & Associates, Inc.","$171,262 ","$58,913 ","$112,350 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,6/3/2024,North America,BFSI,,,Joe Wishy
1/1/2024,3.08E+11,Hologic Inc- P2P RFP,"Hologic, Inc.","$103,860 ","$58,860 ","$45,000 ",Cross Sell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,3/29/2024,North America,Life Sciences,,,Mattie Farnsworth
1/1/2024,3.08E+11,Orora Packaging_S2P,Orora North America,"$94,116 ","$56,616 ","$37,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,3/29/2024,North America,Automotive and Industrial,,,Jack Keogh
1/1/2024,3.08E+11,Blue Cross Blue Shield of MN_S2C,Blue Cross and Blue Shield of Minnesota,"$89,730 ","$53,730 ","$36,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,6/28/2024,North America,BFSI,,,Joe Wishy
1/1/2024,3.08E+11,Briggs & Stratton_P2P,Briggs & Stratton Corporation,"$143,617 ","$53,617 ","$90,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),50%,1/30/2024,North America,Automotive and Industrial,,,Karson Keogh
1/1/2024,3.08E+11,"Indorama Ventures_ Sourcing, Contracts",Indorama Ventures Public Company Limited,"$672,000 ","$210,000 ","$462,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,2/9/2024,APAC,Automotive and Industrial,,,Christina Ambroson
1/1/2024,3.08E+11,Caterpillar- Marketplace POC,Caterpillar Inc.,"$90,000 ","$52,500 ","$37,500 ",Cross Sell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,2/28/2024,North America,Automotive and Industrial,,,Mattie Farnsworth
1/1/2024,3.08E+11,McLane_Incremental Spend + $50B,McLane Company Inc.,"$67,500 ","$52,500 ","$15,000 ",Cross Sell,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,2/29/2024,North America,CPG & Retail,,,Jack Keogh
1/1/2024,3.08E+11,ONEOK_S2P,"ONEOK, Inc.","$78,750 ","$52,500 ","$26,250 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,5/15/2024,North America,Chemicals/Oil/Gas/Resources,,,Jack Keogh
1/1/2024,3.08E+11,Primoris_S2P + NEXXE,Primoris Services Corporation,"$78,750 ","$52,500 ","$26,250 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,6/12/2024,North America,Other Services,,,Jack Keogh
1/1/2024,3.08E+11,St. Luke's Health System_CLM_Spend_Suppler,St. Luke's Health System Ltd.,"$113,031 ","$51,381 ","$61,650 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,8/1/2024,North America,Life Sciences,,,Joe Wishy
1/1/2024,3.08E+11,Flagship_Mid Ent_S2P,Flagship Pioneering Inc,"$124,500 ","$51,000 ","$73,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,2/28/2024,North America,BFSI,,,Srinivas Moorthy
1/1/2024,3.08E+11,Yaskawa - Should Cost/Supplier Collab,"Yaskawa America, Inc.","$117,000 ","$49,500 ","$67,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,6/14/2024,North America,Automotive and Industrial,,,Tim Rothrock
1/1/2024,3.08E+11,Ace Hardware - P2P RFI,ACE Hardware Corporation,"$101,550 ","$49,050 ","$52,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,9/20/2024,North America,CPG & Retail,,,Tim Rothrock
1/1/2024,3.08E+11,Invictus S2P RFP,Invictus Global General Trading FZE,"$97,500 ","$48,750 ","$48,750 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,5/17/2024,Middle East,CPG & Retail,,,Abdel Halim
1/1/2024,3.08E+11,Tennessee Valley Authority_S2C,Tennessee Valley Authority,"$93,113 ","$48,113 ","$45,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,5/1/2024,North America,Public Sector,,,Joe Wishy
1/1/2024,3.08E+11,Cushman & Wakefield_P2P,"Cushman & Wakefield, Inc.","$116,888 ","$47,888 ","$69,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,4/30/2024,North America,Other Services,,,Karson Keogh
1/1/2024,3.08E+11,SPPL_S2P_GEP CLICK,Singapore Pools (Pvt) Ltd,"$99,375 ","$46,875 ","$52,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,3/22/2024,APAC,Other Services,,,Ming Wai
1/1/2024,3.08E+11,DUCAB_SMART,Dubai Cable Company,"$87,000 ","$46,500 ","$40,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,8/28/2024,Middle East,Automotive and Industrial,,,Abdel Halim
1/1/2024,3.08E+11,Tahakom_S2C,Saudi Technology and Security Comprehensive Control Co. Ltd. (Tahakom),"$95,250 ","$46,500 ","$48,750 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,9/17/2024,Middle East,Automotive and Industrial,,,Abdel Halim
1/1/2024,3.08E+11,Skandinaviska Enskilda Banken AB_S2P,Skandinaviska Enskilda Banken AB,"$142,260 ","$45,510 ","$96,750 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,10/25/2024,Europe,BFSI,,,Stephan Hesselgren
1/1/2024,3.08E+11,USAID_Vignetic_Supply Chain,US Agency for International Development,"$135,000 ","$45,000 ","$90,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,3/13/2024,North America,Public Sector,,,Uday Singh
1/1/2024,3.08E+11,VSP Procure to Order RFI,Vision Service Plan Inc.(VSP),"$127,500 ","$45,000 ","$82,500 ",Upsell,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,3/28/2024,North America,Life Sciences,,,Sharan Santmajor
1/1/2024,3.08E+11,Trinity Industries_S2C,"Trinity Industries, Inc.","$67,500 ","$45,000 ","$22,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,6/5/2024,North America,Automotive and Industrial,,,Jack Keogh
1/1/2024,3.08E+11,RABOBANK - P2P,Rabobank Group,"$142,500 ","$45,000 ","$97,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),30%,6/14/2024,Europe,BFSI,,,Bernard Remacle
1/1/2024,3.08E+11,Oman Air S2P,Oman Air,"$84,000 ","$45,000 ","$39,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,6/17/2024,Middle East,Other Services,,,Abdel Halim
1/1/2024,3.08E+11,Discount Tire_S2P + NEXXE,Discount Tire Co Inc,"$71,250 ","$45,000 ","$26,250 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,7/17/2024,North America,Automotive and Industrial,,,Jack Keogh
1/1/2024,3.08E+11,Imperial Brands S2P,Imperial Tobacco Group Plc,"$90,000 ","$45,000 ","$45,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,7/31/2024,Europe,CPG & Retail,,,Sam Zaki
