SOW_ID,SOW Name,Vertical,Region,Fees_Type,Revenue_Type,Segment_Type,Start_Date
1123,AkzoNobel  - Spend License,Chemicals/Oil/Gas/Resources,Europe,Fees,License,Enterprise,10/1/2019
2492,Amyris - Spend License Fees,Life Sciences,North America,Fees,License,SMB,4/1/2023
2508,Alcority - Sourcing & Supplier License Fees,Other Services,North America,Fees,License,SMB,7/1/2023
1719,Alliant Credit Union - Spend License,BFSI,North America,Fees,License,SMB,7/1/2021
1641,Amcor Flexibles (SG) - Spend Analysis license,CPG & Retail,APAC,Fees,License,Enterprise,6/1/2021
1047,American Heart Association - License,Public Sector,North America,Fees,License,SMB,7/1/2019
1294,Ameren - License (Spend & Savings),Energy & Utilities,North America,Fees,License,Enterprise,4/1/2020
3347,APAR - S2P License Fees,Automotive and Industrial,APAC,Fees,License,SMB,2/1/2025
3348,APAR - S2P Implementation Fees,Automotive and Industrial,APAC,Fees,Implementation,SMB,3/1/2025
1269,Aperam - License,Automotive and Industrial,Europe,Fees,License,Enterprise,2/1/2020
40,Apex Tool Group - License fee,Automotive and Industrial,North America,Fees,License,SMB,3/1/2017
1694,APi Group - Spend & Saving License,Other Services,North America,Fees,License,Enterprise,6/1/2021
1695,APi Group - Spend & Saving Implmentation,Other Services,North America,Fees,Implementation,Enterprise,6/1/2021
3280,API Group - Tech work stream resourcing ,Other Services,North America,Fees,Implementation,Enterprise,11/1/2024
3308,API Group - S2P License Fees,Other Services,North America,Fees,License,Enterprise,11/1/2024
3370,API Group - S2P Implementation Fees,Other Services,North America,Fees,Implementation,Enterprise,1/1/2025
3685,API Group - S2P Addl. Implementation Fees,Other Services,North America,Fees,Implementation,Enterprise,5/1/2025
3760,API Group - S2P Implementation Fees Travel,Other Services,North America,Travel,Implementation,Enterprise,10/1/2025
3754,API Group - Data QA domain License,Other Services,North America,Fees,License,Enterprise,10/1/2025
3752,API Group - Data QA domain implementation,Other Services,North America,Fees,Implementation,Enterprise,10/1/2025
3753,API Group - Wave 1 Implementation Extension,Other Services,North America,Fees,Implementation,Enterprise,11/1/2025
3513,API Group - Chubb - GEP Green Pilot license,Other Services,Europe,Fees,License,Enterprise,7/1/2025
3514,API Group - Chubb - GEP Green Pilot implementation,Other Services,Europe,Fees,Implementation,Enterprise,7/1/2025
1982,"Apotex, Inc. - Spend license",Life Sciences,North America,Fees,License,Enterprise,1/1/2022
3462,Aryzta - S2C License Fees,CPG & Retail,Europe,Fees,License,Enterprise,5/1/2025
3463,Aryzta - S2C Implementation Fees,CPG & Retail,Europe,Fees,Implementation,Enterprise,5/1/2025
1197,Asahi - license,CPG & Retail,Europe,Fees,License,Enterprise,1/1/2020
1873,Ascend - S2P License,Chemicals/Oil/Gas/Resources,North America,Fees,License,SMB,11/1/2021
3895,Aster Chemical - S2C and AP License Fees,Chemicals/Oil/Gas/Resources,APAC,Fees,License,SMB,3/1/2026
1084,AAMC - license,Public Sector,North America,Fees,License,SMB,9/1/2019
82,Assurant - License Fees,BFSI,North America,Fees,License,Enterprise,1/1/2017
89,Astellas - License fee,Life Sciences,North America,Fees,License,Enterprise,1/1/2017
92,AstraZeneca UK - License fee,Life Sciences,Europe,Fees,License,Enterprise,1/1/2017
3144,A2A - GEP Green Software License,Energy & Utilities,Europe,Fees,License,Enterprise,10/1/2024
3145,A2A - GEP Green Software Implementation,Energy & Utilities,Europe,Fees,Implementation,Enterprise,7/1/2024
95,AT&T - License Fees,Telecom/Media/Tech,North America,Fees,License,Enterprise,12/1/2017
98,AT&T - Sourcing License Fees,Telecom/Media/Tech,North America,Fees,License,Enterprise,7/1/2018
99,AT&T - Sourcing Implementation Fees,Telecom/Media/Tech,North America,Fees,Implementation,Enterprise,7/1/2018
2904,AT&T - S2C License Fees,Telecom/Media/Tech,LATAM,Fees,License,SMB,2/1/2024
2905,AT&T - S2C Implementation Fees,Telecom/Media/Tech,LATAM,Fees,Implementation,SMB,3/1/2024
2999,Athletic Greens - Sourcing License,Life Sciences,North America,Fees,License,SMB,4/1/2024
3000,Athletic Greens - Sourcing Implementation,Life Sciences,North America,Fees,Implementation,SMB,4/1/2024
1783,Antero Resources - S2P License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,8/1/2021
1840,ALS Global - Sourcing & Supplier License,Other Services,APAC,Fees,License,SMB,10/1/2021
3721,Melbourne Airports - S2C License,Other Services,APAC,Fees,License,Enterprise,9/1/2025
3722,Melbourne Airports - S2C Implementation,Other Services,APAC,Fees,Implementation,Enterprise,10/1/2025
2782,AWR - S2P License Fees,Other Services,Middle East,Fees,License,SMB,10/1/2023
2783,AWR - S2P Implementation Fees,Other Services,Middle East,Fees,Implementation,SMB,11/1/2023
2852,AWR - S2P Implementation Fees Travel,Other Services,Middle East,Travel,Implementation,SMB,11/1/2023
110,AVX - License Fee,Automotive and Industrial,North America,Fees,License,SMB,12/1/2018
2037,AVX - Supplier License Fee,Automotive and Industrial,North America,Fees,License,SMB,2/1/2022
1862,AXA Insurance - Sourcing & Contract License,BFSI,Middle East,Fees,License,Enterprise,10/1/2021
3670,Bangalore Airport - S2P License Fees,Other Services,APAC,Fees,License,SMB,9/1/2025
3671,Bangalore Airport - S2P Implementation Fees,Other Services,APAC,Fees,Implementation,SMB,10/1/2025
1568,Bekaert - License,Automotive and Industrial,Europe,Fees,License,Enterprise,2/1/2021
1569,Bekaert - Implementation,Automotive and Industrial,Europe,Fees,Implementation,Enterprise,2/1/2021
119,Bank of America - License fee,BFSI,North America,Fees,License,Enterprise,1/1/2017
1488,Bank of America - S2P License,BFSI,North America,Fees,License,Enterprise,12/1/2020
1489,Bank of America - S2P Implementation,BFSI,North America,Fees,Implementation,Enterprise,11/1/2020
3507,Bank of America - Risk Redesign Implementation,BFSI,North America,Fees,Implementation,Enterprise,4/1/2025
2195,Bank of America - Premium Support,BFSI,North America,Fees,Implementation,Enterprise,7/1/2022
2483,Bank of America - In App Guided License Fees,BFSI,North America,Fees,License,Enterprise,3/1/2023
2550,Banner Bank - Sourcing License Fees,BFSI,North America,Fees,License,SMB,5/1/2023
2555,Bayer - BAU/Steady State - Spend portion,Life Sciences,Europe,Fees,License,Enterprise,5/1/2023
3132,Bayer - R&D FHV - GEP - Software,Life Sciences,Europe,Fees,License,Enterprise,12/1/2023
1986,Bega Cheese - License,CPG & Retail,APAC,Fees,License,Enterprise,2/1/2022
2668,Bega Cheese - Implementation Travel,CPG & Retail,APAC,Travel,Implementation,Enterprise,7/1/2023
2384,Bega Cheese - Helpdesk Support,CPG & Retail,APAC,Fees,Implementation,Enterprise,12/1/2022
1052,Berry Global - License Fee,Automotive and Industrial,North America,Fees,License,Enterprise,7/1/2019
2996,Beusa - S2P License fees,Chemicals/Oil/Gas/Resources,North America,Fees,License,SMB,4/1/2024
2997,Beusa - S2P Implementation fees,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,SMB,5/1/2024
3609,Bharti Airtel - S2O License Fees,Telecom/Media/Tech,APAC,Fees,License,Enterprise,7/1/2025
3610,Bharti Airtel - S2O Implementation Fees,Telecom/Media/Tech,APAC,Fees,Implementation,Enterprise,8/1/2025
149,Biogen Idec - License fee,Life Sciences,North America,Fees,License,Enterprise,1/1/2017
155,Bio-Rad - License fee,Life Sciences,North America,Fees,License,Enterprise,1/1/2017
156,BioMarin - Sales Order A-1 (License),Life Sciences,North America,Fees,License,SMB,5/1/2018
2427,Bitsight - P2P license,Other Services,North America,Fees,License,SMB,2/1/2023
160,Black Hills - License fee,Other Services,North America,Fees,License,SMB,1/1/2017
1697,Bluebird (2seventy) - License,Life Sciences,North America,Fees,License,SMB,8/1/2021
2418,Briggs & Stratton Corporation - S2C with Forecasting license,Automotive and Industrial,North America,Fees,License,SMB,1/1/2023
3841,Brava - S2C License Fees,CPG & Retail,LATAM,Fees,License,SMB,12/1/2025
3842,Brava - S2C Implementation Fees,CPG & Retail,LATAM,Fees,Implementation,SMB,12/1/2025
1212,Brunei Shell - license,Chemicals/Oil/Gas/Resources,APAC,Fees,License,Enterprise,1/1/2020
1213,Brunei Shell - implementation,Chemicals/Oil/Gas/Resources,APAC,Fees,Implementation,Enterprise,1/1/2020
169,Boots UK Limited - License Fees,CPG & Retail,Europe,Fees,License,Enterprise,1/1/2017
3850,Bollhoff - Sourcing & CLM License,Automotive and Industrial,APAC,Fees,License,SMB,12/1/2025
3851,Bollhoff - Sourcing & CLM Implementation,Automotive and Industrial,APAC,Fees,Implementation,SMB,1/1/2026
3694,BCG - Spend Analysis & OA Software,Other Services,North America,Fees,Implementation,Enterprise,9/1/2025
3181,BCG - Sourcing License,Other Services,APAC,Fees,License,Enterprise,8/1/2024
171,Bonneville - License Fees,Other Services,North America,Fees,License,Enterprise,1/1/2017
3017,Bonneville - US Based Support,Other Services,North America,Fees,Implementation,Enterprise,4/1/2024
3446,Bonneville - License Quantum Fees,Other Services,North America,Fees,License,Enterprise,3/1/2025
3447,Bonneville - Implementation Fees,Other Services,North America,Fees,Implementation,Enterprise,5/1/2025
2125,BCBSA - S2C License Fees,BFSI,North America,Fees,License,SMB,5/1/2022
2587,BCBSA - P2P License Fees,BFSI,North America,Fees,License,SMB,6/1/2023
2816,BCBSA - P2O Additional Users,BFSI,North America,Fees,License,SMB,11/1/2023
3869,BCBSA - S2O Design Phase,BFSI,North America,Fees,Implementation,SMB,1/1/2026
3232,Bureau Veritas - Contract Management License,Other Services,Europe,Fees,License,Enterprise,12/1/2024
3313,Bureau Veritas - Fluxym - CLM Implementation,Other Services,Europe,Fees,Implementation,Enterprise,11/1/2024
1748,Bpost - S2C License Fees,Other Services,Europe,Fees,License,Enterprise,8/1/2021
3215,Bpost - S2C addl. License Fees,Other Services,Europe,Fees,License,Enterprise,11/1/2024
3052,Radical - Contract & Supplier Management License,Other Services,Europe,Fees,License,Enterprise,6/1/2024
3053,Radical - Contract & Supplier Management Implementation,Other Services,Europe,Fees,Implementation,Enterprise,6/1/2024
1522,Bridgestone - License Sourcing & eAuction,Automotive and Industrial,APAC,Fees,License,Enterprise,1/1/2021
1980,Bridgestone - Savings/Projects License,Automotive and Industrial,APAC,Fees,License,Enterprise,1/1/2022
176,"Brighthouse Services, LLC - License Fees",BFSI,North America,Fees,License,Enterprise,6/1/2017
2139,Browne Jacobson - Contract & Supplier License fees,Other Services,Europe,Fees,License,SMB,6/1/2022
1746,Bumi Armada - Supplier License,Chemicals/Oil/Gas/Resources,APAC,Fees,License,SMB,8/1/2021
2438,Bumi Armada - Sourcing License,Chemicals/Oil/Gas/Resources,APAC,Fees,License,SMB,2/1/2023
2740,Ivanhoe Affiliated - S2C license,Other Services,North America,Fees,License,Enterprise,11/1/2023
2741,Ivanhoe Affiliated - S2C Implementation,Other Services,Europe,Fees,Implementation,Enterprise,12/1/2023
3349,Ivanhoe Affiliated - Supplier license Fees,Other Services,North America,Fees,License,Enterprise,1/1/2025
3350,Ivanhoe Affiliated - Supplier Implementation Fees,Other Services,Europe,Fees,Implementation,Enterprise,2/1/2025
3263,C-Spire - Accelerated Sourcing Program License,Telecom/Media/Tech,North America,Fees,License,SMB,10/1/2024
1405,Cargill - Spend License,CPG & Retail,North America,Fees,License,Enterprise,8/1/2020
1563,Carigali Hess - License,Chemicals/Oil/Gas/Resources,APAC,Fees,License,Enterprise,3/1/2021
3010,Carigali Hess(CHOC) - Implementation,Chemicals/Oil/Gas/Resources,APAC,Fees,Implementation,Enterprise,4/1/2024
3011,Carigali Hess(CHOC) - Implementation Travel,Chemicals/Oil/Gas/Resources,APAC,Travel,Implementation,Enterprise,4/1/2024
2309,CPOC - S2C (Upstream) license,Chemicals/Oil/Gas/Resources,APAC,Fees,License,SMB,11/1/2022
1298,Carlisle - License,Automotive and Industrial,North America,Fees,License,Enterprise,4/1/2020
2463,Carvajal - S2C License Fees,CPG & Retail,LATAM,Fees,License,SMB,5/1/2023
2464,Carvajal - S2C Implementation Fees,CPG & Retail,LATAM,Fees,Implementation,SMB,7/1/2023
1411,Caterpillar - License,Automotive and Industrial,North America,Fees,License,Enterprise,1/1/2021
1412,Caterpillar - Implementation,Automotive and Industrial,North America,Fees,Implementation,Enterprise,7/1/2020
2631,Caterpillar - Product Owner Support Services ,Automotive and Industrial,North America,Fees,Implementation,Enterprise,7/1/2023
3139,Caterpillar - Marketplace POC License,Automotive and Industrial,North America,Fees,License,Enterprise,7/1/2024
2283,Caterpillar - SRM implementation,Automotive and Industrial,North America,Fees,Implementation,Enterprise,10/1/2022
1664,Caterpillar - Direct S2C License,Automotive and Industrial,North America,Fees,License,Enterprise,5/1/2021
1665,Caterpillar - Direct S2C Implementation,Automotive and Industrial,North America,Fees,Implementation,Enterprise,5/1/2021
2800,Caterpillar - Direct S2C Addl. Implementation,Automotive and Industrial,North America,Fees,Implementation,Enterprise,10/1/2023
3154,Caterpillar - Direct S2C Implementation Extension,Automotive and Industrial,North America,Fees,Implementation,Enterprise,8/1/2024
3570,Caterpillar - Direct S2C Implementation Upsell,Automotive and Industrial,North America,Fees,Implementation,Enterprise,4/1/2025
2278,Caterpillar - Direct Co-Innovation,Automotive and Industrial,North America,Fees,Implementation,Enterprise,1/1/2023
2859,Caterpillar - Addl. CBR Implementation (CR3),Automotive and Industrial,North America,Fees,Implementation,Enterprise,12/1/2023
3253,Accenture – GEP Caterpillar PROcure Subcontract Services,Automotive and Industrial,North America,Fees,Implementation,Enterprise,10/1/2024
3143,Caterpillar - Change Management (Training),Automotive and Industrial,North America,Fees,Implementation,Enterprise,7/1/2024
3043,Caterpillar - Change Management (Training),Automotive and Industrial,North America,Fees,Implementation,Enterprise,5/1/2024
2391,Carrefour - Sourcing License,CPG & Retail,APAC,Fees,License,Enterprise,5/1/2023
197,"CCBCC Operations, LLC (License Fees)",CPG & Retail,North America,Fees,License,Enterprise,1/1/2017
2620,CEGID - S2C License Fees,Telecom/Media/Tech,Europe,Fees,License,SMB,9/1/2023
2638,CEGID - S2C Implementation Fees (Fluxym),Telecom/Media/Tech,Europe,Fees,Implementation,SMB,9/1/2023
3725,Central1 - S2P License Fees,BFSI,North America,Fees,License,SMB,10/1/2025
1990,ChampionX - S2P License,Chemicals/Oil/Gas/Resources,North America,Fees,License,SMB,3/1/2022
1991,ChampionX - S2P Implementation,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,SMB,5/1/2022
2317,ChampionX - S2P Implementation travel,Chemicals/Oil/Gas/Resources,North America,Travel,Implementation,SMB,11/1/2022
1838,Chargepoint - S2C License,Automotive and Industrial,North America,Fees,License,SMB,10/1/2021
1205,Cheniere - license,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,1/1/2020
1957,Cheniere - Spend license,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,3/1/2022
1556,Cheesecake Factory - License,CPG & Retail,North America,Fees,License,SMB,2/1/2021
217,Chevron Services Company - License Fee,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,5/1/2018
219,Chevron Services Company - S2P Implementation (travel),Chemicals/Oil/Gas/Resources,North America,Travel,Implementation,Enterprise,6/1/2018
941,Chevron Services Company - Add'l UAT Instance (license),Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,2/1/2019
942,Chevron Services Company - Add'l UAT Instance Setup (implementation),Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,2/1/2019
1240,Chevron Services Company - Add'l Implementation,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,1/1/2020
1565,Chevron Services Company - Add'l Implementation - Travel,Chemicals/Oil/Gas/Resources,North America,Travel,Implementation,Enterprise,1/1/2020
1327,Chevron - Additional Customer Premium Support,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,5/1/2020
2946,Chevron - PDC Energy Deployment Support,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,2/1/2024
1341,Chevron - Nexxe License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,1/1/2021
1361,Chevron - Nexxe License (Field Services),Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,1/1/2021
1362,Chevron - Click License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,6/1/2020
1570,Chevron - Digital Core Support,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,2/1/2021
225,"Chick-fil-A, Inc. - License Fees",CPG & Retail,North America,Fees,License,Enterprise,1/1/2017
1091,Chivas - License,CPG & Retail,Europe,Fees,License,SMB,11/1/2019
1659,Chivas - Sourcing & Spend License (Pernod Ricard),CPG & Retail,Europe,Fees,License,SMB,5/1/2021
1941,The Absolut - S2C License (Pernod),CPG & Retail,Europe,Fees,License,SMB,12/1/2021
2174,Pernod - Spend Indirect License,CPG & Retail,Europe,Fees,License,SMB,7/1/2022
2374,Pernod - Spend Wet Good license,CPG & Retail,Europe,Fees,License,SMB,1/1/2023
1459,Church & Dwight - Spend & Sourcing License,CPG & Retail,North America,Fees,License,Enterprise,10/1/2020
1615,Church & Dwight - P2P License,CPG & Retail,North America,Fees,License,Enterprise,4/1/2021
1932,Church & Dwight - Addl. P2P License,CPG & Retail,North America,Fees,License,Enterprise,11/1/2021
234,Cincinnati Bell Telephone - License,Telecom/Media/Tech,North America,Fees,License,SMB,1/1/2017
235,Cincinnati Bell Telephone - P2P License,Telecom/Media/Tech,North America,Fees,License,SMB,1/1/2017
238,Cincinnati Bell/ExpensePath Agreement,Telecom/Media/Tech,North America,Fees,License,SMB,8/1/2017
1243,Citigroup - S2C (less Spend) License,BFSI,North America,Fees,License,Enterprise,2/1/2020
2513,Citigroup - S2C UAT License,BFSI,North America,Fees,License,Enterprise,1/1/2021
1244,Citigroup - S2C (less Spend) Implementation,BFSI,North America,Fees,Implementation,Enterprise,2/1/2020
3785,Citigroup - Supplier Cleanup for Banamex,BFSI,North America,Fees,Implementation,Enterprise,11/1/2025
1189,Citgo - license,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,1/1/2020
1609,Citgo - Savings/Projects license,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,7/1/2021
2956,Citgo - Spend license,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,2/1/2024
2957,Citgo -  Spend Implementation,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,3/1/2024
2920,Citgo - Quantum Upgrade Implementation Fees,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,1/1/2024
1611,Coca-Cola India - License,CPG & Retail,APAC,Fees,License,SMB,4/1/2021
2687,Coca-Cola Srilanka - License Fees,CPG & Retail,APAC,Fees,License,SMB,8/1/2023
2688,Coca-Cola Srilanka - Implementation Fees,CPG & Retail,APAC,Fees,Implementation,SMB,9/1/2023
2732,Swire Coca-Cola - License Fees,CPG & Retail,APAC,Fees,License,Enterprise,9/1/2023
2733,Swire Coca-Cola - Implementation Fees,CPG & Retail,APAC,Fees,Implementation,Enterprise,10/1/2023
3892,Swire Shipping - Contract License fees,Other Services,APAC,Fees,License,SMB,2/1/2026
3209,CWE - Baxter Spend Analysis,Life Sciences,North America,Fees,Implementation,SMB,9/1/2024
1613,Comdata - License,Other Services,Europe,Fees,License,SMB,4/1/2021
919,ConocoPhillips - Business Design for SMART (Travel),Chemicals/Oil/Gas/Resources,North America,Travel,Implementation,Enterprise,2/1/2019
947,ConocoPhillips - License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,3/1/2019
948,ConocoPhillips - Implementation,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,5/1/2019
3762,ConocoPhillips - Implementation Travel,Chemicals/Oil/Gas/Resources,North America,Travel,Implementation,Enterprise,10/1/2025
1931,ConocoPhillips - S2P License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,11/1/2021
2064,ConocoPhillips - S2P Additional Instance License #3,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,3/1/2022
2412,ConocoPhillips - S2P Additional Instance License #4,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,1/1/2023
2810,ConocoPhillips - S2P Additional Instance License #5,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,12/1/2023
3223,ConocoPhillips - PEPPOL Implementation,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,10/1/2024
2473,Costa - License S2C Fees,CPG & Retail,Europe,Fees,License,SMB,3/1/2023
1897,PWC - ConocoPhillips nxtGen ERP Supply Chain Workstream Implementation,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,11/1/2021
3421,PWC - ConocoPhillips Marathon (MINT),Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,2/1/2025
2417,PWC - ConocoPhillips nxtGen ERP Supply Chain EDW Implementation support,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,1/1/2023
3652,ConocoPhilips - Enhancements,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,5/1/2025
3558,PWC - ConocoPhilips Click TSM Intregration,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,5/1/2025
2702,PWC - ConocoPhilips Implementation SFS Module,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,8/1/2023
2573,PWC - ConocoPhillips nxtGen ERP Supply Chain Workstream Implementation Travel,Chemicals/Oil/Gas/Resources,North America,Travel,Implementation,Enterprise,5/1/2023
2919,ConocoPhillips - S2P Additional Instance License #6,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,11/1/2023
3616,PWC Conocophilips - Stabilization Support,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,5/1/2025
2514,ConocoPhilips - Premium Support,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,6/1/2023
2156,ConocoPhillips - Projects Savings License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,6/1/2022
3617,PWC Conocophilips - KPOC,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,9/1/2025
2621,ConocoPhillips - Projects Savings Implementation Fees,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,9/1/2022
2192,Cooper Tire & Rubber Company - CLM License,Automotive and Industrial,North America,Fees,License,Enterprise,6/1/2019
1535,Grupo Bimbo - Sourcing License,CPG & Retail,LATAM,Fees,License,Enterprise,1/1/2021
3865,Grupo Bimbo - P2P & Click License,CPG & Retail,LATAM,Fees,License,Enterprise,1/1/2026
2307,CORE Electric Cooperative- CLM License,Other Services,North America,Fees,License,SMB,11/1/2022
2674,7-Eleven - S2P License Fees,CPG & Retail,North America,Fees,License,SMB,8/1/2023
2675,7-Eleven - S2P Implementation Fees,CPG & Retail,North America,Fees,Implementation,SMB,11/1/2023
2311,CBA Brazil_Spend Analysis + Costdrivers License,Automotive and Industrial,LATAM,Fees,License,Enterprise,11/1/2022
1445,Colorado Springs Utilities - License,Energy & Utilities,North America,Fees,License,SMB,10/1/2020
1447,Colorado Springs Utilities - Implementation (travel),Energy & Utilities,North America,Travel,Implementation,SMB,3/1/2024
1514,Colorado Springs Utilities - Projects License,Energy & Utilities,North America,Fees,License,SMB,12/1/2020
259,Cox Communications - License Fees,Telecom/Media/Tech,North America,Fees,License,Enterprise,1/1/2017
261,Crescent Point Energy - License Fees,Other Services,North America,Fees,License,SMB,1/1/2017
2738,Cupertino EIectric - Supplier Mgmt license,Other Services,North America,Fees,License,Enterprise,11/1/2023
2739,Cupertino Electric - Supplier Mgmt implementation,Other Services,North America,Fees,Implementation,Enterprise,1/1/2024
1421,Danone - TSO,CPG & Retail,North America,Fees,License,SMB,8/1/2020
3703,Daikin - Sourcing License,Automotive and Industrial,Europe,Fees,License,Enterprise,9/1/2025
3704,Daikin - Sourcing Implementation,Automotive and Industrial,Europe,Fees,Implementation,Enterprise,10/1/2025
1876,Deciphera - Sourcing License,Life Sciences,North America,Fees,License,SMB,11/1/2021
2779,Ballard (D.A. Collins) - P2P License Fees,Other Services,North America,Fees,License,SMB,11/1/2023
2780,Ballard (D.A. Collins) - P2P Implementation Fees,Other Services,North America,Fees,Implementation,SMB,12/1/2023
1886,Dilligent Power - eAuctions License,Other Services,APAC,Fees,License,SMB,10/1/2021
1442,Deltek - License,Telecom/Media/Tech,North America,Fees,License,SMB,10/1/2020
266,Dentsply - License Fees,Life Sciences,North America,Fees,License,Enterprise,1/1/2017
1138,Dentsply - Project Management License Fees,Life Sciences,North America,Fees,License,Enterprise,1/1/2017
3766,Dick's - S2P License Fees,CPG & Retail,North America,Fees,License,SMB,10/1/2025
3767,Dick's - S2P Implementation Fees,CPG & Retail,North America,Fees,Implementation,SMB,1/1/2026
2027,DuPont - S2C License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,2/1/2022
2028,DuPont - S2C Implementation,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,2/1/2022
3525,DuPont - Spend License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,5/1/2025
3526,DuPont - Implementaton Fees,Chemicals/Oil/Gas/Resources,North America,Fees,Implementation,Enterprise,6/1/2025
1235,Dupont - S2P License,Chemicals/Oil/Gas/Resources,North America,Fees,License,Enterprise,1/1/2020
2049,Dairy Farm - S2P License,Telecom/Media/Tech,APAC,Fees,License,Enterprise,3/1/2022
